userid,count
takano,55
t.kasai,19
ko-hei,10
shibamoto,9
tsukiji,6
shigetatomoki,6
daiju.haga-1521042,4
syun070822,3
hisatsugu_1521038,3
s1421163,2
satotoshiki,2
urano_ryoya,2
kaiseiaoki,1
kurihara,1
matsuoka,1
