userid,count
ko-hei,118
tsukiji,83
t.kasai,72
syun070822,70
shibamoto,26
shigetatomoki,23
hisatsugu_1521038,21
urano_ryoya,13
daiju.haga-1521042,11
matsuoka,10
ishikawa,9
kaiseiaoki,6
satotoshiki,4
yuta,4
takahashiy,3
s1421163,2
kurihara,2
s1721059,2
s1521078,1
s1521046,1
shohei516,1
umetani,1
takano,1
