userid,count
takano,55
t.kasai,19
ko-hei,10
shibamoto,9
shigetatomoki,6
tsukiji,6
daiju.haga-1521042,4
syun070822,3
hisatsugu_1521038,3
satotoshiki,2
s1421163,2
urano_ryoya,2
matsuoka,1
kurihara,1
kaiseiaoki,1
