userid,count
takano,49
tsukiji,16
t.kasai,10
ko-hei,7
syun070822,1
daiju.haga-1521042,1
shigetatomoki,1
s1521046,1
s1421163,1
urano_ryoya,1
shibamoto,1
kaiseiaoki,1
