userid,count
takano,89
tsukiji,6
ko-hei,4
shigetatomoki,4
t.kasai,4
shibamoto,2
s1521166,1
syun070822,1
matsuoka,1
s1521078,1
kurihara,1
daiju.haga-1521042,1
hisatsugu_1521038,1
s1621155,1
satotoshiki,1
s1421163,1
urano_ryoya,1
