id,text,ktakano,shohei516,H-tsukiji,kohei1110
0," ishikawa/.txt	-- ::. 
",0,0,0,0
1,タグ付けを利用した情報統合の提案,0.291605922,0,0,0
2,聞き手からの反応を素早く得るために「物理ボタン」を利用,0.1028689,0,0.058025885,0
3,し，議論にタグを付けて議論を記録する．,0.15430335,0,0.232103541,0.125988158
4,現在と過去の議論をタグで紐付け，新しい議論で情報として,0.213980246,0,0.19312182,0.104828484
5,利用する．,0,0,0,0
6,動画・音声で記録,0,0,0,0
7,議論内容,0.109108945,0,0.246182982,0.133630621
8,データベース,0,0,0,0
9,記録された情報,0.15430335,0,0,0
10,をオンラインで,0,0,0,0
11,共有,0,0,0,0
12,発言者,0,0,0,0
13,口頭＋資料で,0,0,0,0
14,考えを発言,0,0,0,0
15,発言に対する意見,0,0,0,0
16,聞き手,0,0,0,0
18,資料＝ホワイトボードやパワーポイントなどの媒体,0,0,0,0
19,議論の場,0.109108945,0,0.246182982,0.133630621
20,議論時間,0.109108945,0,0.246182982,0.133630621
21,データベース,0,0,0,0
23,議論のカテゴリ,0.109108945,0,0.246182982,0.133630621
24,をタグ化,0.109108945,0,0,0
26,重要人物,0,0,0,0
28,抽出,0,0,0,0
29,議論,0.15430335,0,0.348155312,0.188982237
30,の要点毎に,0,0,0,0
31,物理ボタンを押す,0.178174161,0,0,0
32,システムの流れ図,0,0.162221421,0,0
33,Slack,0,0,0,0
34,で実装する時の問題,0,0,0,0
36,チャンネルを跨いで記録する場合，物理ボタンにチャンネルの,0.097590007,0,0,0
37,紐付けが出来ない．,0,0,0,0
39,API,0,0,0,0
40,側で全てのメッセージを受け取る仕組みがあるものの，流れ,0.058321184,0,0,0.142857143
41,てくるどのチャットが物理ボタンと紐付けているのか分かりづら,0.085592099,0,0,0
42,い可能性がある（ここはアイデア次第で解決出来るかも）,0.05143445,0,0,0.125988158
43,https://i.gyazo.com/daaacbaaddbab.png,0,0,0,0
44,権力のある人,0,0,0,0.21821789
45,権力のある人＋女性＝王妃,0,0,0,0.169030851
47,の技術と同様に、文書をベクトルで表現（パラグラフベクトル）,0,0,0,0
48,する技術,0,0,0,0
50,可変長の文章や段落に対応するので文章と文章の関連度の抽出が出来る,0,0,0,0.133630621
51,文章の要約やニュース記事の類似度抽出などといった活用法がある,0,0,0,0.179284291
,,,,,
,,2.088021744,0.162221421,1.816138486,1.923330317
