id,text,shohei516,kohei1110,H-tsukiji,misamatsuoka,HoshinoYuta,unblee
0," umetani/.txt	-- ::. ",0,0,0,0,0,0
1,の結合する．,0,0,0,0,0.204124145,0
3,利用者にどのように歩く動機付けをさせるか．,0,0.058925565,0.15430335,0,0,0.050251891
,,,,,,,
,,0,0.058925565,0.15430335,0,0.204124145,0.050251891
